"ASIN","Result","Brand"
"B0D4QQZ49S","NG",""
"B0D4TN41JB","NG",""
"B0D4TRW5ZF","NG",""
"B0D4YFQNH2","NG",""
"B0D4YQD6BV","NG",""
"B0D4YRQK98","NG",""
"B0D52MLBM1","OK",""
"B0D53HL1BB","NG",""
"B0D547CSP9","NG",""
"B0D58HLRRR","OK",""
"B0D59FZSLK","OK",""
"B0D59KNL51","OK",""
"B0D5B8NNLL","OK",""
"B0D5CDHDP2","OK",""
"B0D5CKNFGT","APPROVAL",""
"B0D5GTGR85","APPROVAL",""
"B0D5HC9Q6N","APPROVAL",""
"B0D5HFL16Q","OK",""
"B0D5L1HLMZ","OK",""
"B0D5L8Y9MV","OK",""
"B0D5L911CF","OK",""
"B0D5LCKWPX","OK",""
"B0D5LDCKG2","OK",""
"B0D5LDWH2J","NG",""
"B0D5LF3YMK","NG",""
"B0D5LH57VD","OK",""
"B0D5N2CGWP","OK",""
"B0D5NP76VT","OK",""
"B0D5PKV1NR","OK",""
"B0D5PVVQJK","OK",""
"B0D5QJDBZQ","OK",""
"B0D5RH6RKY","OK",""
"B0D5XH5CJJ","OK",""
"B0D62XR393","OK",""
"B0D62ZR8J2","OK",""
"B0D631LSK5","OK",""
"B0D631LWM3","OK",""
"B0D63297S5","OK",""
"B0D63L26LJ","APPROVAL",""
"B0D64DX4XN","OK",""
"B0D65RKZFD","OK",""
"B0D664KZQ1","NG",""
"B0D668X4LH","OK",""
"B0D66G9SBX","NG",""
"B0D66LFJ7V","NG",""
"B0D6BXJBD7","APPROVAL",""
"B0D6DYHRK1","NG",""
"B0D6F6H4JN","NG",""
"B0D6G8BYY7","APPROVAL",""
"B0D6G8J7GZ","OK",""
"B0D6GC6S4C","OK",""
"B0D6GCTLXH","OK",""
"B0D6LMPF8Z","OK",""
"B0D6LNFMNV","OK",""
"B0D6MFLW7K","NG",""
"B0D6MP5MS6","NG",""
"B0D6MP8HSQ","NG",""
"B0D6MR9L4Q","NG",""
"B0D6MRDDSN","NG",""
"B0D6MX2936","NG",""
"B0D6MX6BQQ","NG",""
"B0D6MZYDJZ","NG",""
"B0D6N1NH1P","NG",""
"B0D6N3FL7N","NG",""
"B0D6N98DTB","OK",""
"B0D6R72DF1","NG",""
"B0D6R7RSV2","NG",""
"B0D6R7X1MX","NG",""
"B0D6R81TDX","NG",""
"B0D6R837DJ","NG",""
"B0D6R8D6WJ","NG",""
"B0D6R8GWYT","NG",""
"B0D6R8P5LM","NG",""
"B0D6R8W4VY","NG",""
"B0D6R9D73Y","NG",""
"B0D6R9DCCS","NG",""
"B0D6R9Z447","NG",""
"B0D6VLNKCW","OK",""
