"ASIN","Result","Brand"
"B0B1DTXPZV","APPROVAL",""
"B0B1DWR951","APPROVAL",""
"B0B1DYJHWT","APPROVAL",""
"B0B1DYJHZR","APPROVAL",""
"B0B1F1R3YY","APPROVAL",""
"B0B1F3Q9JZ","APPROVAL",""
"B0B1GZR67L","APPROVAL",""
"B0B1H432RT","APPROVAL",""
"B0B1HD4C5K","APPROVAL",""
"B0B1HFV8B1","OK",""
"B0B1HH7Q1D","APPROVAL",""
"B0B1HJFNMH","APPROVAL",""
"B0B1HSKCTS","APPROVAL",""
"B0B1HV1SNQ","APPROVAL",""
"B0B1HWM5LW","APPROVAL",""
"B0B1HWVDYY","APPROVAL",""
"B0B1HZPT2M","APPROVAL",""
"B0B1J22YR2","APPROVAL",""
"B0B1J34VQV","APPROVAL",""
"B0B1JFRXQ2","APPROVAL",""
"B0B1JQ1R9Q","OK",""
"B0B1LF85XW","OK",""
"B0B1M1RQ28","OK",""
"B0B1M2Y6XJ","APPROVAL",""
"B0B1M6W13D","OK",""
"B0B1M7FXRY","OK",""
"B0B1MDDXK8","APPROVAL",""
"B0B1MDL9D5","APPROVAL",""
"B0B1MDVF5X","APPROVAL",""
"B0B1MDVF6J","APPROVAL",""
"B0B1MF2LD5","APPROVAL",""
"B0B1MFJ668","APPROVAL",""
"B0B1MFTB1R","APPROVAL",""
"B0B1MFW1S6","APPROVAL",""
"B0B1MG3HMK","APPROVAL",""
"B0B1MG7H9L","APPROVAL",""
"B0B1MGJ6WP","APPROVAL",""
"B0B1MGXSM9","APPROVAL",""
"B0B1MH61CJ","OK",""
"B0B1NWLQGV","APPROVAL",""
"B0B1PD5NWP","APPROVAL",""
"B0B1PQB28J","APPROVAL",""
"B0B1PXRG7X","APPROVAL",""
"B0B1PZNT3T","OK",""
"B0B1Q4NLMR","APPROVAL",""
"B0B1QCWNPW","APPROVAL",""
"B0B1T7LCD7","APPROVAL",""
"B0B1TRHSVH","APPROVAL",""
"B0B1TV8J5P","APPROVAL",""
"B0B1V3YWM5","OK",""
"B0B1ZFDLTC","OK",""
"B0B1ZFSKPK","OK",""
"B0B1ZGVG59","APPROVAL",""
"B0B1ZH8XGG","APPROVAL",""
"B0B1ZJ6XFK","OK",""
"B0B1ZJN2L8","OK",""
"B0B1ZJP9YK","APPROVAL",""
"B0B1ZM195L","APPROVAL",""
"B0B1ZNDVQN","APPROVAL",""
"B0B1ZPD9Q3","OK",""
"B0B1ZPTLWF","OK",""
"B0B1ZSV2JK","APPROVAL",""
"B0B1ZSW1FN","APPROVAL",""
"B0B1ZW9PCF","OK",""
"B0B1ZXP5XV","APPROVAL",""
"B0B211TW74","OK",""
"B0B211VY7Y","OK",""
"B0B2139DXM","APPROVAL",""
"B0B2147K34","APPROVAL",""
"B0B2154735","OK",""
"B0B215Q3FV","OK",""
"B0B21BGLF5","OK",""
"B0B21F85PY","APPROVAL",""
"B0B21G6JQB","APPROVAL",""
"B0B21GQ4N2","APPROVAL",""
"B0B21GY6LZ","APPROVAL",""
"B0B23JRWXL","APPROVAL",""
"B0B23L3JL3","APPROVAL",""
"B0B23LTW4B","APPROVAL",""
"B0B23S6V4G","APPROVAL",""
"B0B23V1L27","APPROVAL",""
"B0B23ZMHYZ","APPROVAL",""
"B0B241PT68","APPROVAL",""
"B0B24PCKNM","APPROVAL",""
"B0B24PL6RY","APPROVAL",""
"B0B24Q8QN7","APPROVAL",""
"B0B24QMGQX","APPROVAL",""
"B0B24T33RG","APPROVAL",""
"B0B24T7CV5","APPROVAL",""
"B0B271183S","APPROVAL",""
"B0B27B8FFR","APPROVAL",""
"B0B27PFVRN","APPROVAL",""
"B0B27XJM8Z","OK",""
"B0B27XKT8T","APPROVAL",""
"B0B27YNKP8","APPROVAL",""
"B0B281HTM3","APPROVAL",""
"B0B2834GBC","APPROVAL",""
"B0B28373BH","APPROVAL",""
"B0B284TK6M","APPROVAL",""
"B0B287JVLB","OK",""
"B0B28869LY","OK",""
"B0B288F7DZ","APPROVAL",""
"B0B289KHY2","APPROVAL",""
"B0B28FVTC1","OK",""
"B0B28R69S1","APPROVAL",""
"B0B28RXJ97","APPROVAL",""
"B0B28T1321","OK",""
"B0B28WDCRC","APPROVAL",""
"B0B291671C","APPROVAL",""
"B0B2BVZ9KZ","OK",""
"B0B2C3H7L6","APPROVAL",""
"B0B2CM6ZB4","APPROVAL",""
"B0B2CX5GKW","APPROVAL",""
"B0B2D4GS97","APPROVAL",""
"B0B2DGFH21","APPROVAL",""
"B0B2DHNYQB","APPROVAL",""
"B0B2DHWK83","APPROVAL",""
"B0B2DX31JP","OK",""
"B0B2DX53HD","OK",""
"B0B2DYGHLX","OK",""
"B0B2F33N5P","APPROVAL",""
"B0B2F3GMBL","APPROVAL",""
"B0B2F3KVJ5","APPROVAL",""
